PERCENT_WAITING_OVER_THIRTY_MINUTES,CND_POLL_UUID,NAME,STATE,COUNTY_NAME,SLATED_FOR_CLOSURE_IN_GA
12.0567,31c93de830da9b0ce2d57a4cd4b49fcb,OLDE ATLANTA CLUBHOUSE,GA,FORSYTH,True
51.4493,1dbfdd8a6fc6efdfb126a08e1f504d10,REGISTRAR'S OFFICE,GA,SCREVEN,False
6.7708,8456f9b7c22db5f23468de9845a4ec77,LANIER COUNTY BOARD OF ELECTIONS,GA,LANIER,False
42.623000000000005,8a338cf2573baf275f17e5f00fad2e72,MAIN OFFICE,GA,LIBERTY,False
38.8889,03fe8839ece4bcd8d147af8744ae25a7,AA- GEORGIA INTERNATIONAL CONVENTION  CENTER,GA,FULTON,False
2.6316,53671df62c94a34da6d03878c7db4f95,REGISTRARS OFFICE,GA,CLAY,False
0.0,d5d28edba52c614afb9aad8d33cc55a5,ATKINSON CO. ELECTION OFFICE,GA,ATKINSON,False
40.566,e07288fc75a1a7fb9731c3f0d6998e11,AA- GEORGIA STATE UNIVERSITY   STUDENT CENTER EAST,GA,FULTON,False
75.0318,5c5a71f1029540a4545f760af691f7dd,ELECTIONS OFFICE,GA,JONES,False
29.012300000000003,ea908d8760109f90a52ede5888ed2327,AA - NORTHWEST BRANCH AT SCOTTS CROSSING,GA,FULTON,False
57.5342,5e1c7c64a8f49fa1cebe6a18c572a3a1,BRYAN COUNTY COMMISSIONERS MEETING ROOM,GA,BRYAN,False
17.3469,8377b632900804bbe57f2a035dcd5d3a,ADVANCED/ABSENTEE VOTING,GA,HART,False
62.1192,f975acf725fa5835a33761b0e13bbb05,AA - NORTH FULTON ANNEX,GA,FULTON,False
45.76270000000001,82dff92a5f912a1fa61908bca2442445,ELECTIONS OFFICE,GA,LEE,False
27.5862,333cf4e8ee74890e7534f5690d0a2ed5,UNIFIED GOVT OFFICES OF CUSSETA-CHATTAHOOCHEE COUNTY,GA,CHATTAHOOCHEE,False
31.1715,5bd9370c22b97394b8ed43496b69b346,AV-STONECREST (FORMER SAM'S CLUB),GA,DEKALB,False
38.6986,e7172b73a82abfec05c37edd5ebf8525,AV-DUNWOODY LIBRARY,GA,DEKALB,False
23.0769,1087f9634d69308afd6b6eaef3de91c9,COURTHOUSE,GA,CLINCH,False
33.3333,71ce7fc4b8fc4e5bae6c1e207c477179,REGISTRAR'S OFFICE (EARLY VOTING),GA,MONROE,False
52.8261,84b4c216a11317a5e9e6e569ad574bf8,GOVERNMENT CENTER,GA,TROUP,False
17.364,cc2702e45c29ac747a3bf28dcc229199,REGISTRATION & ELECTIONS OFFICE,GA,BALDWIN,False
73.22399999999999,df80e9e8d47221d0fa11159a37f93f9c,MORROW MUNICIPAL COMPLEX,GA,CLAYTON,False
44.6475,c7a1442ab5e2fdd54694d6c1f8e75f65,EFFINGHAM CO. BOARD OF ELECTIONS AND REGISTRATION,GA,EFFINGHAM,False
67.71300000000001,db03bb07d484e9626329dd2a94b6b7b5,MAIN OFFICE,GA,FLOYD,False
11.5523,fce793d40e87840d8a1d88c59df5272b,ABSA,GA,MORGAN,False
46.1538,1463d2030d361463b94a6a5f09746561,LOOKOUT MOUNTAIN UNITED METHODIST CHURCH,GA,WALKER,False
